k,points,radius,akurasi
7.0,20.0,17.0,57.5
9.0,20.0,17.0,57.5
1.0,20.0,18.0,82.5
3.0,20.0,18.0,67.5
5.0,20.0,18.0,67.5
7.0,20.0,18.0,55.0
9.0,20.0,18.0,55.0
1.0,20.0,19.0,87.5
3.0,20.0,19.0,72.5
5.0,20.0,19.0,60.0
7.0,20.0,19.0,57.5
9.0,20.0,19.0,55.0
1.0,20.0,20.0,85.0
3.0,20.0,20.0,75.0
5.0,20.0,20.0,65.0
7.0,20.0,20.0,57.5
9.0,20.0,20.0,57.5
1.0,24.0,4.0,60.0
3.0,24.0,4.0,40.0
5.0,24.0,4.0,47.5
7.0,24.0,4.0,50.0
9.0,24.0,4.0,37.5
1.0,24.0,5.0,72.5
3.0,24.0,5.0,55.0
5.0,24.0,5.0,50.0
7.0,24.0,5.0,37.5
9.0,24.0,5.0,35.0
1.0,24.0,6.0,67.5
3.0,24.0,6.0,65.0
5.0,24.0,6.0,62.5
7.0,24.0,6.0,55.0
9.0,24.0,6.0,47.5
1.0,24.0,7.0,72.5
3.0,24.0,7.0,65.0
5.0,24.0,7.0,60.0
7.0,24.0,7.0,55.0
9.0,24.0,7.0,55.0
1.0,24.0,8.0,65.0
3.0,24.0,8.0,57.5
5.0,24.0,8.0,57.5
7.0,24.0,8.0,55.0
9.0,24.0,8.0,40.0
1.0,24.0,9.0,72.5
3.0,24.0,9.0,65.0
5.0,24.0,9.0,57.5
7.0,24.0,9.0,50.0
9.0,24.0,9.0,52.5
1.0,24.0,10.0,70.0
3.0,24.0,10.0,65.0
5.0,24.0,10.0,60.0
7.0,24.0,10.0,62.5
9.0,24.0,10.0,57.5
1.0,24.0,11.0,75.0
3.0,24.0,11.0,70.0
5.0,24.0,11.0,57.5
7.0,24.0,11.0,57.5
9.0,24.0,11.0,60.0
1.0,24.0,12.0,80.0
3.0,24.0,12.0,70.0
5.0,24.0,12.0,62.5
7.0,24.0,12.0,50.0
9.0,24.0,12.0,45.0
1.0,24.0,13.0,85.0
3.0,24.0,13.0,72.5
5.0,24.0,13.0,67.5
7.0,24.0,13.0,62.5
9.0,24.0,13.0,52.5
1.0,24.0,14.0,82.5
3.0,24.0,14.0,77.5
5.0,24.0,14.0,75.0
7.0,24.0,14.0,60.0
9.0,24.0,14.0,60.0
1.0,24.0,15.0,85.0
3.0,24.0,15.0,75.0
5.0,24.0,15.0,75.0
7.0,24.0,15.0,70.0
9.0,24.0,15.0,72.5
1.0,24.0,16.0,92.5
3.0,24.0,16.0,80.0
5.0,24.0,16.0,72.5
7.0,24.0,16.0,62.5
9.0,24.0,16.0,62.5
1.0,24.0,17.0,90.0
3.0,24.0,17.0,75.0
5.0,24.0,17.0,77.5
7.0,24.0,17.0,72.5
9.0,24.0,17.0,62.5
1.0,24.0,18.0,80.0
3.0,24.0,18.0,75.0
5.0,24.0,18.0,75.0
7.0,24.0,18.0,62.5
9.0,24.0,18.0,50.0
1.0,24.0,19.0,82.5
3.0,24.0,19.0,75.0
5.0,24.0,19.0,70.0
7.0,24.0,19.0,57.5
9.0,24.0,19.0,45.0
1.0,24.0,20.0,85.0
3.0,24.0,20.0,72.5
5.0,24.0,20.0,75.0
7.0,24.0,20.0,62.5
9.0,24.0,20.0,55.0
1.0,28.0,4.0,65.0
3.0,28.0,4.0,45.0
5.0,28.0,4.0,45.0
7.0,28.0,4.0,50.0
9.0,28.0,4.0,37.5
1.0,28.0,5.0,65.0
3.0,28.0,5.0,47.5
5.0,28.0,5.0,50.0
7.0,28.0,5.0,37.5
9.0,28.0,5.0,35.0
1.0,28.0,6.0,70.0
3.0,28.0,6.0,60.0
5.0,28.0,6.0,52.5
7.0,28.0,6.0,45.0
9.0,28.0,6.0,50.0
1.0,28.0,7.0,65.0
3.0,28.0,7.0,57.5
5.0,28.0,7.0,55.0
7.0,28.0,7.0,50.0
9.0,28.0,7.0,55.0
1.0,28.0,8.0,62.5
3.0,28.0,8.0,67.5
5.0,28.0,8.0,60.0
7.0,28.0,8.0,50.0
9.0,28.0,8.0,42.5
1.0,28.0,9.0,70.0
3.0,28.0,9.0,67.5
5.0,28.0,9.0,60.0
7.0,28.0,9.0,47.5
9.0,28.0,9.0,37.5
1.0,28.0,10.0,75.0
3.0,28.0,10.0,65.0
5.0,28.0,10.0,57.5
7.0,28.0,10.0,60.0
9.0,28.0,10.0,47.5
1.0,28.0,11.0,80.0
3.0,28.0,11.0,65.0
5.0,28.0,11.0,52.5
7.0,28.0,11.0,52.5
9.0,28.0,11.0,55.0
1.0,28.0,12.0,77.5
3.0,28.0,12.0,72.5
5.0,28.0,12.0,52.5
7.0,28.0,12.0,55.0
9.0,28.0,12.0,50.0
1.0,28.0,13.0,85.0
3.0,28.0,13.0,75.0
5.0,28.0,13.0,67.5
7.0,28.0,13.0,60.0
9.0,28.0,13.0,60.0
1.0,28.0,14.0,82.5
3.0,28.0,14.0,70.0
5.0,28.0,14.0,60.0
7.0,28.0,14.0,65.0
9.0,28.0,14.0,60.0
1.0,28.0,15.0,82.5
3.0,28.0,15.0,70.0
5.0,28.0,15.0,77.5
7.0,28.0,15.0,70.0
9.0,28.0,15.0,65.0
1.0,28.0,16.0,90.0
3.0,28.0,16.0,75.0
5.0,28.0,16.0,82.5
7.0,28.0,16.0,67.5
9.0,28.0,16.0,60.0
1.0,28.0,17.0,85.0
3.0,28.0,17.0,75.0
5.0,28.0,17.0,72.5
7.0,28.0,17.0,67.5
9.0,28.0,17.0,57.5
1.0,28.0,18.0,80.0
3.0,28.0,18.0,75.0
5.0,28.0,18.0,75.0
7.0,28.0,18.0,67.5
9.0,28.0,18.0,55.0
1.0,28.0,19.0,85.0
3.0,28.0,19.0,70.0
5.0,28.0,19.0,77.5
7.0,28.0,19.0,67.5
9.0,28.0,19.0,57.5
1.0,28.0,20.0,85.0
3.0,28.0,20.0,77.5
5.0,28.0,20.0,77.5
7.0,28.0,20.0,72.5
9.0,28.0,20.0,60.0
1.0,32.0,4.0,65.0
3.0,32.0,4.0,47.5
5.0,32.0,4.0,47.5
7.0,32.0,4.0,47.5
9.0,32.0,4.0,50.0
1.0,32.0,5.0,62.5
3.0,32.0,5.0,42.5
5.0,32.0,5.0,50.0
7.0,32.0,5.0,40.0
9.0,32.0,5.0,32.5
1.0,32.0,6.0,60.0
3.0,32.0,6.0,55.0
5.0,32.0,6.0,45.0
7.0,32.0,6.0,40.0
9.0,32.0,6.0,37.5
1.0,32.0,7.0,67.5
3.0,32.0,7.0,60.0
5.0,32.0,7.0,47.5
7.0,32.0,7.0,40.0
9.0,32.0,7.0,42.5
1.0,32.0,8.0,65.0
3.0,32.0,8.0,62.5
5.0,32.0,8.0,57.5
7.0,32.0,8.0,47.5
9.0,32.0,8.0,40.0
1.0,32.0,9.0,75.0
3.0,32.0,9.0,67.5
5.0,32.0,9.0,60.0
7.0,32.0,9.0,50.0
9.0,32.0,9.0,40.0
1.0,32.0,10.0,67.5
3.0,32.0,10.0,62.5
5.0,32.0,10.0,52.5
7.0,32.0,10.0,50.0
9.0,32.0,10.0,42.5
1.0,32.0,11.0,75.0
3.0,32.0,11.0,70.0
5.0,32.0,11.0,72.5
7.0,32.0,11.0,57.5
9.0,32.0,11.0,55.0
1.0,32.0,12.0,80.0
3.0,32.0,12.0,72.5
5.0,32.0,12.0,62.5
7.0,32.0,12.0,52.5
9.0,32.0,12.0,52.5
1.0,32.0,13.0,87.5
3.0,32.0,13.0,65.0
5.0,32.0,13.0,60.0
7.0,32.0,13.0,60.0
9.0,32.0,13.0,50.0
1.0,32.0,14.0,77.5
3.0,32.0,14.0,75.0
5.0,32.0,14.0,67.5
7.0,32.0,14.0,60.0
9.0,32.0,14.0,62.5
1.0,32.0,15.0,85.0
3.0,32.0,15.0,80.0
5.0,32.0,15.0,75.0
7.0,32.0,15.0,67.5
9.0,32.0,15.0,60.0
1.0,32.0,16.0,85.0
3.0,32.0,16.0,82.5
5.0,32.0,16.0,75.0
7.0,32.0,16.0,62.5
9.0,32.0,16.0,52.5
1.0,32.0,17.0,82.5
3.0,32.0,17.0,80.0
5.0,32.0,17.0,77.5
7.0,32.0,17.0,65.0
9.0,32.0,17.0,62.5
1.0,32.0,18.0,82.5
3.0,32.0,18.0,70.0
5.0,32.0,18.0,72.5
7.0,32.0,18.0,62.5
9.0,32.0,18.0,60.0
1.0,32.0,19.0,87.5
3.0,32.0,19.0,82.5
5.0,32.0,19.0,75.0
7.0,32.0,19.0,60.0
9.0,32.0,19.0,52.5
1.0,32.0,20.0,85.0
3.0,32.0,20.0,77.5
5.0,32.0,20.0,67.5
7.0,32.0,20.0,65.0
9.0,32.0,20.0,60.0
1.0,36.0,4.0,55.0
3.0,36.0,4.0,37.5
5.0,36.0,4.0,45.0
7.0,36.0,4.0,42.5
9.0,36.0,4.0,45.0
1.0,36.0,5.0,67.5
3.0,36.0,5.0,35.0
5.0,36.0,5.0,40.0
7.0,36.0,5.0,45.0
9.0,36.0,5.0,37.5
1.0,36.0,6.0,70.0
3.0,36.0,6.0,45.0
5.0,36.0,6.0,45.0
7.0,36.0,6.0,40.0
9.0,36.0,6.0,37.5
1.0,36.0,7.0,70.0
3.0,36.0,7.0,60.0
5.0,36.0,7.0,60.0
7.0,36.0,7.0,47.5
9.0,36.0,7.0,45.0
1.0,36.0,8.0,60.0
3.0,36.0,8.0,55.0
5.0,36.0,8.0,55.0
7.0,36.0,8.0,47.5
9.0,36.0,8.0,42.5
1.0,36.0,9.0,70.0
3.0,36.0,9.0,62.5
5.0,36.0,9.0,60.0
7.0,36.0,9.0,57.5
9.0,36.0,9.0,32.5
1.0,36.0,10.0,70.0
3.0,36.0,10.0,65.0
5.0,36.0,10.0,62.5
7.0,36.0,10.0,45.0
9.0,36.0,10.0,42.5
1.0,36.0,11.0,75.0
3.0,36.0,11.0,75.0
5.0,36.0,11.0,60.0
7.0,36.0,11.0,57.5
9.0,36.0,11.0,60.0
1.0,36.0,12.0,82.5
3.0,36.0,12.0,70.0
5.0,36.0,12.0,62.5
7.0,36.0,12.0,50.0
9.0,36.0,12.0,47.5
1.0,36.0,13.0,85.0
3.0,36.0,13.0,75.0
5.0,36.0,13.0,57.5
7.0,36.0,13.0,55.0
9.0,36.0,13.0,50.0
1.0,36.0,14.0,82.5
3.0,36.0,14.0,75.0
5.0,36.0,14.0,67.5
7.0,36.0,14.0,60.0
9.0,36.0,14.0,50.0
1.0,36.0,15.0,87.5
3.0,36.0,15.0,82.5
5.0,36.0,15.0,75.0
7.0,36.0,15.0,60.0
9.0,36.0,15.0,55.0
1.0,36.0,16.0,85.0
3.0,36.0,16.0,82.5
5.0,36.0,16.0,72.5
7.0,36.0,16.0,65.0
9.0,36.0,16.0,55.0
1.0,36.0,17.0,80.0
3.0,36.0,17.0,80.0
5.0,36.0,17.0,67.5
7.0,36.0,17.0,57.5
9.0,36.0,17.0,52.5
1.0,36.0,18.0,77.5
3.0,36.0,18.0,67.5
5.0,36.0,18.0,70.0
7.0,36.0,18.0,62.5
9.0,36.0,18.0,52.5
1.0,36.0,19.0,85.0
3.0,36.0,19.0,72.5
5.0,36.0,19.0,62.5
7.0,36.0,19.0,52.5
9.0,36.0,19.0,52.5
1.0,36.0,20.0,82.5
3.0,36.0,20.0,72.5
5.0,36.0,20.0,62.5
7.0,36.0,20.0,60.0
9.0,36.0,20.0,57.5
1.0,40.0,4.0,55.0
3.0,40.0,4.0,45.0
5.0,40.0,4.0,45.0
7.0,40.0,4.0,47.5
9.0,40.0,4.0,42.5
1.0,40.0,5.0,57.5
3.0,40.0,5.0,45.0
5.0,40.0,5.0,40.0
7.0,40.0,5.0,37.5
9.0,40.0,5.0,32.5
1.0,40.0,6.0,60.0
3.0,40.0,6.0,47.5
5.0,40.0,6.0,47.5
7.0,40.0,6.0,47.5
9.0,40.0,6.0,45.0
1.0,40.0,7.0,72.5
3.0,40.0,7.0,65.0
5.0,40.0,7.0,47.5
7.0,40.0,7.0,47.5
9.0,40.0,7.0,35.0
1.0,40.0,8.0,70.0
3.0,40.0,8.0,67.5
5.0,40.0,8.0,62.5
7.0,40.0,8.0,55.0
9.0,40.0,8.0,40.0
1.0,40.0,9.0,67.5
3.0,40.0,9.0,57.5
5.0,40.0,9.0,45.0
7.0,40.0,9.0,40.0
9.0,40.0,9.0,30.0
1.0,40.0,10.0,67.5
3.0,40.0,10.0,62.5
5.0,40.0,10.0,45.0
7.0,40.0,10.0,37.5
9.0,40.0,10.0,35.0
1.0,40.0,11.0,75.0
3.0,40.0,11.0,72.5
5.0,40.0,11.0,57.5
7.0,40.0,11.0,62.5
9.0,40.0,11.0,65.0
1.0,40.0,12.0,77.5
3.0,40.0,12.0,70.0
5.0,40.0,12.0,57.5
7.0,40.0,12.0,52.5
9.0,40.0,12.0,50.0
1.0,40.0,13.0,80.0
3.0,40.0,13.0,67.5
5.0,40.0,13.0,60.0
7.0,40.0,13.0,60.0
9.0,40.0,13.0,57.5
1.0,40.0,14.0,80.0
3.0,40.0,14.0,62.5
5.0,40.0,14.0,67.5
7.0,40.0,14.0,70.0
9.0,40.0,14.0,52.5
1.0,40.0,15.0,80.0
3.0,40.0,15.0,77.5
5.0,40.0,15.0,65.0
7.0,40.0,15.0,60.0
9.0,40.0,15.0,55.0
1.0,40.0,16.0,82.5
3.0,40.0,16.0,80.0
5.0,40.0,16.0,65.0
7.0,40.0,16.0,60.0
9.0,40.0,16.0,45.0
1.0,40.0,17.0,82.5
3.0,40.0,17.0,77.5
5.0,40.0,17.0,67.5
7.0,40.0,17.0,65.0
9.0,40.0,17.0,50.0
1.0,40.0,18.0,77.5
3.0,40.0,18.0,67.5
5.0,40.0,18.0,62.5
7.0,40.0,18.0,55.0
9.0,40.0,18.0,47.5
1.0,40.0,19.0,82.5
3.0,40.0,19.0,67.5
5.0,40.0,19.0,62.5
7.0,40.0,19.0,52.5
9.0,40.0,19.0,50.0
1.0,40.0,20.0,82.5
3.0,40.0,20.0,75.0
5.0,40.0,20.0,57.5
7.0,40.0,20.0,57.5
9.0,40.0,20.0,52.5
1.0,44.0,4.0,55.0
3.0,44.0,4.0,42.5
5.0,44.0,4.0,42.5
7.0,44.0,4.0,37.5
9.0,44.0,4.0,32.5
1.0,44.0,5.0,70.0
3.0,44.0,5.0,47.5
5.0,44.0,5.0,40.0
7.0,44.0,5.0,35.0
9.0,44.0,5.0,32.5
1.0,44.0,6.0,65.0
3.0,44.0,6.0,52.5
5.0,44.0,6.0,37.5
7.0,44.0,6.0,37.5
9.0,44.0,6.0,37.5
1.0,44.0,7.0,70.0
3.0,44.0,7.0,65.0
5.0,44.0,7.0,57.5
7.0,44.0,7.0,50.0
9.0,44.0,7.0,47.5
1.0,44.0,8.0,67.5
3.0,44.0,8.0,52.5
5.0,44.0,8.0,45.0
7.0,44.0,8.0,42.5
9.0,44.0,8.0,42.5
1.0,44.0,9.0,70.0
3.0,44.0,9.0,57.5
5.0,44.0,9.0,55.0
7.0,44.0,9.0,42.5
9.0,44.0,9.0,40.0
1.0,44.0,10.0,62.5
3.0,44.0,10.0,67.5
5.0,44.0,10.0,50.0
7.0,44.0,10.0,50.0
9.0,44.0,10.0,42.5
1.0,44.0,11.0,70.0
3.0,44.0,11.0,67.5
5.0,44.0,11.0,52.5
7.0,44.0,11.0,55.0
9.0,44.0,11.0,47.5
1.0,44.0,12.0,77.5
3.0,44.0,12.0,67.5
5.0,44.0,12.0,65.0
7.0,44.0,12.0,52.5
9.0,44.0,12.0,52.5
1.0,44.0,13.0,77.5
3.0,44.0,13.0,62.5
5.0,44.0,13.0,65.0
7.0,44.0,13.0,55.0
9.0,44.0,13.0,60.0
1.0,44.0,14.0,80.0
3.0,44.0,14.0,67.5
5.0,44.0,14.0,65.0
7.0,44.0,14.0,70.0
9.0,44.0,14.0,62.5
1.0,44.0,15.0,77.5
3.0,44.0,15.0,72.5
5.0,44.0,15.0,67.5
7.0,44.0,15.0,60.0
9.0,44.0,15.0,55.0
1.0,44.0,16.0,82.5
3.0,44.0,16.0,72.5
5.0,44.0,16.0,62.5
7.0,44.0,16.0,55.0
9.0,44.0,16.0,52.5
1.0,44.0,17.0,85.0
3.0,44.0,17.0,80.0
5.0,44.0,17.0,67.5
7.0,44.0,17.0,62.5
9.0,44.0,17.0,47.5
1.0,44.0,18.0,75.0
3.0,44.0,18.0,65.0
5.0,44.0,18.0,65.0
7.0,44.0,18.0,60.0
9.0,44.0,18.0,52.5
1.0,44.0,19.0,82.5
3.0,44.0,19.0,67.5
5.0,44.0,19.0,60.0
7.0,44.0,19.0,47.5
9.0,44.0,19.0,42.5
1.0,44.0,20.0,80.0
