k,points,radius,akurasi
0.01,24.0,16.0,47.05882352941177
0.015,24.0,16.0,70.58823529411765
0.02,24.0,16.0,76.47058823529412
0.005,24.0,17.0,11.764705882352942
0.01,24.0,17.0,58.8235294117647
0.015,24.0,17.0,64.70588235294117
0.02,24.0,17.0,70.58823529411765
0.005,24.0,18.0,11.764705882352942
0.01,24.0,18.0,58.8235294117647
0.015,24.0,18.0,64.70588235294117
0.02,24.0,18.0,70.58823529411765
0.005,24.0,19.0,11.764705882352942
0.01,24.0,19.0,52.94117647058823
0.015,24.0,19.0,76.47058823529412
0.02,24.0,19.0,70.58823529411765
0.005,24.0,20.0,11.764705882352942
0.01,24.0,20.0,58.8235294117647
0.015,24.0,20.0,70.58823529411765
0.02,24.0,20.0,64.70588235294117
0.005,28.0,4.0,17.647058823529413
0.01,28.0,4.0,58.8235294117647
0.015,28.0,4.0,58.8235294117647
0.02,28.0,4.0,52.94117647058823
0.005,28.0,5.0,17.647058823529413
0.01,28.0,5.0,52.94117647058823
0.015,28.0,5.0,58.8235294117647
0.02,28.0,5.0,58.8235294117647
0.005,28.0,6.0,11.764705882352942
0.01,28.0,6.0,52.94117647058823
0.015,28.0,6.0,64.70588235294117
0.02,28.0,6.0,52.94117647058823
0.005,28.0,7.0,11.764705882352942
0.01,28.0,7.0,58.8235294117647
0.015,28.0,7.0,64.70588235294117
0.02,28.0,7.0,47.05882352941177
0.005,28.0,8.0,11.764705882352942
0.01,28.0,8.0,47.05882352941177
0.015,28.0,8.0,64.70588235294117
0.02,28.0,8.0,52.94117647058823
0.005,28.0,9.0,11.764705882352942
0.01,28.0,9.0,52.94117647058823
0.015,28.0,9.0,64.70588235294117
0.02,28.0,9.0,58.8235294117647
0.005,28.0,10.0,17.647058823529413
0.01,28.0,10.0,58.8235294117647
0.015,28.0,10.0,64.70588235294117
0.02,28.0,10.0,64.70588235294117
0.005,28.0,11.0,17.647058823529413
0.01,28.0,11.0,52.94117647058823
0.015,28.0,11.0,64.70588235294117
0.02,28.0,11.0,64.70588235294117
0.005,28.0,12.0,11.764705882352942
0.01,28.0,12.0,41.1764705882353
0.015,28.0,12.0,64.70588235294117
0.02,28.0,12.0,64.70588235294117
