k,points,radius,akurasi
0.015,36.0,5.0,40.0
0.02,36.0,5.0,17.5
0.005,36.0,6.0,0.0
0.01,36.0,6.0,27.5
0.015,36.0,6.0,45.0
0.02,36.0,6.0,20.0
0.005,36.0,7.0,0.0
0.01,36.0,7.0,20.0
0.015,36.0,7.0,52.5
0.02,36.0,7.0,32.5
0.005,36.0,8.0,0.0
0.01,36.0,8.0,25.0
0.015,36.0,8.0,60.0
0.02,36.0,8.0,35.0
0.005,36.0,9.0,0.0
0.01,36.0,9.0,30.0
0.015,36.0,9.0,67.5
0.02,36.0,9.0,45.0
0.005,36.0,10.0,0.0
0.01,36.0,10.0,17.5
0.015,36.0,10.0,67.5
0.02,36.0,10.0,52.5
0.005,36.0,11.0,0.0
0.01,36.0,11.0,17.5
0.015,36.0,11.0,70.0
0.02,36.0,11.0,57.5
0.005,36.0,12.0,0.0
0.01,36.0,12.0,12.5
0.015,36.0,12.0,67.5
0.02,36.0,12.0,70.0
0.005,36.0,13.0,0.0
0.01,36.0,13.0,12.5
0.015,36.0,13.0,57.5
0.02,36.0,13.0,65.0
0.005,36.0,14.0,0.0
0.01,36.0,14.0,17.5
0.015,36.0,14.0,65.0
0.02,36.0,14.0,67.5
0.005,36.0,15.0,0.0
0.01,36.0,15.0,15.0
0.015,36.0,15.0,62.5
0.02,36.0,15.0,75.0
0.005,36.0,16.0,0.0
0.01,36.0,16.0,12.5
0.015,36.0,16.0,62.5
0.02,36.0,16.0,80.0
0.005,36.0,17.0,0.0
0.01,36.0,17.0,12.5
0.015,36.0,17.0,57.5
0.02,36.0,17.0,72.5
0.005,36.0,18.0,0.0
0.01,36.0,18.0,12.5
0.015,36.0,18.0,47.5
0.02,36.0,18.0,65.0
0.005,36.0,19.0,0.0
0.01,36.0,19.0,10.0
0.015,36.0,19.0,42.5
0.02,36.0,19.0,60.0
0.005,36.0,20.0,0.0
0.01,36.0,20.0,15.0
0.015,36.0,20.0,52.5
0.02,36.0,20.0,67.5
0.005,40.0,4.0,0.0
0.01,40.0,4.0,25.0
0.015,40.0,4.0,40.0
0.02,40.0,4.0,25.0
0.005,40.0,5.0,0.0
0.01,40.0,5.0,32.5
0.015,40.0,5.0,32.5
0.02,40.0,5.0,12.5
0.005,40.0,6.0,0.0
0.01,40.0,6.0,22.5
0.015,40.0,6.0,40.0
0.02,40.0,6.0,20.0
0.005,40.0,7.0,0.0
0.01,40.0,7.0,35.0
0.015,40.0,7.0,52.5
0.02,40.0,7.0,27.5
0.005,40.0,8.0,0.0
0.01,40.0,8.0,17.5
0.015,40.0,8.0,57.5
0.02,40.0,8.0,32.5
0.005,40.0,9.0,0.0
0.01,40.0,9.0,27.5
0.015,40.0,9.0,57.5
0.02,40.0,9.0,42.5
0.005,40.0,10.0,0.0
0.01,40.0,10.0,20.0
0.015,40.0,10.0,60.0
0.02,40.0,10.0,35.0
0.005,40.0,11.0,0.0
0.01,40.0,11.0,22.5
0.015,40.0,11.0,67.5
0.02,40.0,11.0,57.5
0.005,40.0,12.0,0.0
0.01,40.0,12.0,25.0
0.015,40.0,12.0,67.5
0.02,40.0,12.0,57.5
0.005,40.0,13.0,0.0
0.01,40.0,13.0,25.0
0.015,40.0,13.0,62.5
0.02,40.0,13.0,62.5
0.005,40.0,14.0,0.0
0.01,40.0,14.0,15.0
0.015,40.0,14.0,57.5
0.02,40.0,14.0,67.5
0.005,40.0,15.0,0.0
0.01,40.0,15.0,15.0
0.015,40.0,15.0,57.5
0.02,40.0,15.0,72.5
0.005,40.0,16.0,0.0
0.01,40.0,16.0,10.0
0.015,40.0,16.0,65.0
0.02,40.0,16.0,77.5
0.005,40.0,17.0,0.0
0.01,40.0,17.0,12.5
0.015,40.0,17.0,57.5
0.02,40.0,17.0,72.5
0.005,40.0,18.0,0.0
0.01,40.0,18.0,12.5
0.015,40.0,18.0,52.5
0.02,40.0,18.0,65.0
0.005,40.0,19.0,0.0
0.01,40.0,19.0,12.5
0.015,40.0,19.0,45.0
0.02,40.0,19.0,67.5
0.005,40.0,20.0,0.0
0.01,40.0,20.0,15.0
0.015,40.0,20.0,60.0
0.02,40.0,20.0,65.0
0.005,44.0,4.0,0.0
0.01,44.0,4.0,25.0
0.015,44.0,4.0,27.5
0.02,44.0,4.0,22.5
0.005,44.0,5.0,0.0
0.01,44.0,5.0,35.0
0.015,44.0,5.0,32.5
0.02,44.0,5.0,10.0
